Endonex 36 EC	İnsektisitler	Sıvı Formülasyonlar	12.12.2001	4039	Endosulfan	360 g/l	Agro Altın	
Methofan 186 EC	İnsektisitler	Sıvı Formülasyonlar	08.12.1994	2773	Endosulfan + Methomyl	180 + 60 g/l	Flogaz	
Thiodan-Methyl	İnsektisitler	Sıvı Formülasyonlar	24.04.1974	985	Endosulfan+Parathion-Methyl	300+128 g/l	Aventis	
Korsulfan-Methyl EC	İnsektisitler	Sıvı Formülasyonlar	30.01.1976	1007	Endosulfan+Parathion-Methyl	300+128 g/l	Koruma	
Hektionex-Methyl EC	İnsektisitler	Sıvı Formülasyonlar	18.08.1977	1114	Endosulfan+Parathion-Methyl	300+128 g/l	Hektaş	
Sulfaron-Methyl EC	İnsektisitler	Sıvı Formülasyonlar	09.01.1986	1858	Endosulfan+Parathion-Methyl	300+128 g/l	Çutamko	
Thiosulfan-Methyl EC	İnsektisitler	Sıvı Formülasyonlar	20.05.1986	1906	Endosulfan+Parathion-Methyl	300+128 gl	Midiltipi	
Thiodan-Methyl	İnsektisitler	Sıvı Formülasyonlar	12.09.1986	1940	Endosolfan+Parathion-Methyl	300+128 g/l	Aventis	
Sulfanex-Methyl	İnsektisitler	Sıvı Formülasyonlar	09.12.1987	2065	Endosulfan+Paration-Methyl	300+128 g/l	Agro-San	
İzodan-Methyl EC	İnsektisitler	Sıvı Formülasyonlar	16.02.1988	2130	Endosulfan+Parathion-Methyl	300+128 g/l	Polisan	
Bayer Endosulfan-Methyl EC 40	İnsektisitler	Sıvı Formülasyonlar	24.02.1988	2135	Endosulfan+Parathion-Methyl	300+128 g/l	Bayer	
Özthiazol-Methyl EC	İnsektisitler	Sıvı Formülasyonlar	03.11.1988	2213	Endosulfan+Parathion-Methyl	300+128 g/l	Ür-Pa	
Endofan-Methyl EC	İnsektisitler	Sıvı Formülasyonlar	02.12.1993	2677	Endosulfan+Parathion-Methyl	300+128 g/l	Basf	
Thio-Methyl EC	İnsektisitler	Sıvı Formülasyonlar	19.02.1997	3093	Endosulfan+Parathion-Methyl	300+128 g/l	Agrikem	
İdosan Methyl EC	İnsektisitler	Sıvı Formülasyonlar	24.06.1997	3194	Endisilfon+Parathion-Methyl	300+128 g/l	İlteriş	
Cansa Endosulfan-Methyl	İnsektisitler	Sıvı Formülasyonlar	29.07.1997	3230	Endosulfan+Parathion-Methyl	300+128 g/l	Cansa	
Parasulfan Methyl	İnsektisitler	Sıvı Formülasyonlar	16.12.1998	3547	Endosulfan+Parathion-Methyl	300+128 g/l	Takimsan	
Orthene 75 SP	İnsektisitler	Suda Çözülebilir Toz Formülasy	06.06.1991	2449	Acephate	%75	Aventis	
Hektaş Asefat 75	İnsektisitler	Suda Çözülebilir Toz Formülasy	15.07.1994	2447	Acephate	%75	Hektaş	
Rodacet %75 SP	İnsektisitler	Suda Çözülebilir Toz Formülasy	25.06.1997	3201	Acephate	%75	Özkan	
Recort 	İnsektisitler	Suda Çözülebilir Toz Formülasy	19.02.1998	3344	Acephate	%75	Koruma	
Gusathion M Dp 2.5	İnsektisitler	Toz Formülasyonlar	08.02.1974	913	Azinphos-Methyl	%2.5	Bayer	
K.Metil Katiniyon 2.5 Dust	İnsektisitler	Toz Formülasyonlar	17.12.1981	1467	Azinphos-Methyl	%2.5	Koruma	
Midiltipi Azinphos-M %2.5 Toz	İnsektisitler	Toz Formülasyonlar	23.03.1982	1500	Azinphos-Methyl	%2.5	Midiltipi	
Azinphos T %2.5 Toz	İnsektisitler	Toz Formülasyonlar	18.09.1985	1802	Azinphos-Methyl	%2.5	Agro-San	
İlteriş Azinpos %2.5 Toz	İnsektisitler	Toz Formülasyonları	25.09.1986	1950	Azinphos-Methyl	%2.5	İlteriş	
Methazin %2.5 Toz	İnsektisitler	Toz formülasyonlar	22.09.1987	2046	Azinphos-Methyl	%2.5	Takimsan	
Catnion'H %2.5 Toz	İnsektisitler	Toz Formülasyonlar	01.07.1998	2169	Azinphos-Methyl	%2.5	Hektaş	
Kimphos 2.5 Toz	İnsektisitler	Toz Formülasyonlar	10.01.1988	2204	Azinphos-Methyl	%2.5	Kimyagerler	
Metnion %2.5 Dust	İnsektisitler	Toz Formülasyonlar	18.05.1998	3413	Azinphos-Methyl	%2.5	Safa	
Azotion 2.5 Toz 	İnsektisitler	Toz Formülasyonlar	22.06.1998	3434	Azinphos-Methyl	%2.5	Polisan	
Gusathion M WP 25 	İnsektisitler	Islanabilir Toz Formülasyonlar	04.07.1963	237	Azinphos-Methyl	%25	Bayer	
Gusathion M WP 25	İnsektisitler	Islanabilir Toz Formülasyonlar	19.07.1967	545	Azimphos-Methyl	%25	Bayer	
K.Meti Kotniyon 25 WP	İnsektisitler	Islanabilir Toz Formülasyonlar	31.01.1974	911	Azinohos-Methyl	%25	Koruma	
Midiltipi Azinphos-M %25 WP	İnsektisitler	Islanabilir Toz Formülasyonlar	26.03.1982	1501	Azinphos-Methyl	%25	Midiltipi	
Methazin 25 WP	İnsektisitler	Islanabilir Toz Formülasyonlar	04.05.1987	2011	Azinphos-Methyl	% 25	Takimsan	
Kimphos 25 WP	İnsektisitler	Islanabilir Toz Formülasyonlar	16.02.1988	2131	Azinphos-Methyl	% 25	Kimyagerler	
Agro-Thion 25 WP	İnsektisitler	Islanabilir Toz Formülasyonlar	30.03.1988	2151	Azinphos-Methyl	% 25	Agro-San	
Cotnion'H % 25 WP	İnsektisitler	Islanabilir Toz Formülasyonlar	09.10.1989	2345	Azinphos-Methyl	% 25	Hektaş	
Metnion 25 WP	İnsektisitler	Islanabilir Toz Formülasyonlar	13.05.1998	3404	Azinphos-Methyl	% 25	Safa	
İlteriş Azinphos Methyl 25 WP	İnsektisitler	Islanabilir Toz Formülasyonlar	01.08.1997	3237	Azinphos-Methyl	% 25	İlteriş	
Azotion 25 WP	İnsektisitler	Islanabilir Toz Formülasyonlar	19.06.1998	3432	Azinphos-Methyl	% 25	Polisan	
Flocotnion M 20 SC	İnsektisitler	Sıvı Formülasyonlar	21.12.1999	3696	Azinphos-Methyl	193 g/l	Flogaz	
